date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,day_month,month,hour,min,at_station
2023-01-01,02:22:00,Sunday,museum station,MUPAA,3,9,S,YU,5931,1,1,2,22,1
2023-01-01,08:02:00,Sunday,vaughan mc station,TUNOA,6,12,S,YU,5451,1,1,8,2,1
2023-01-01,08:11:00,Sunday,greenwood station,MUNOA,5,10,E,BD,0,1,1,8,11,1
2023-01-01,08:15:00,Sunday,keele station,TUNOA,5,10,W,BD,0,1,1,8,15,1
2023-01-01,08:16:00,Sunday,greenwood station,TUNOA,5,10,E,BD,0,1,1,8,16,1
2023-01-01,08:19:00,Sunday,donlands station,TUNOA,4,8,W,BD,0,1,1,8,19,1
2023-01-01,08:21:00,Sunday,greenwood station,TUNOA,5,10,E,BD,0,1,1,8,21,1
2023-01-01,08:24:00,Sunday,eglinton station,SUG,6,12,S,YU,5771,1,1,8,24,1
2023-01-01,08:31:00,Sunday,greenwood station,TUNOA,4,8,E,BD,0,1,1,8,31,1
2023-01-01,08:38:00,Sunday,eglinton station,TUNOA,6,12,N,YU,6131,1,1,8,38,1
2023-01-01,08:44:00,Sunday,sheppard west station,TUNOA,6,12,N,YU,5851,1,1,8,44,1
2023-01-01,10:54:00,Sunday,eglinton station,PUSRA,4,8,S,YU,5851,1,1,10,54,1
2023-01-01,11:54:00,Sunday,donlands station,TUNIP,3,7,W,BD,5077,1,1,11,54,1
2023-01-01,14:39:00,Sunday,davisville station,SUDP,4,8,N,YU,5546,1,1,14,39,1
2023-01-01,15:55:00,Sunday,pioneer village  station,MUSAN,5,9,S,YU,5636,1,1,15,55,1
2023-01-01,16:13:00,Sunday,sheppard west station,SUDP,6,10,S,YU,5451,1,1,16,13,1
2023-01-01,17:27:00,Sunday,greenwood station,SUDP,9,13,W,BD,5371,1,1,17,27,1
2023-01-01,18:59:00,Sunday,st george station,MUPAA,5,10,N,YU,5851,1,1,18,59,1
2023-01-01,19:30:00,Sunday,bathurst station,SUSP,5,9,W,BD,5371,1,1,19,30,1
2023-01-01,20:37:00,Sunday,bloor yonge station,SUDP,3,8,E,BD,5056,1,1,20,37,1
2023-01-01,21:57:00,Sunday,kennedy station,EUVA,6,12,W,BD,5141,1,1,21,57,1
2023-01-01,22:19:00,Sunday,union station,SUDP,14,20,N,YU,6086,1,1,22,19,1
2023-01-01,23:19:00,Sunday,kipling station,MUIR,6,12,E,BD,5135,1,1,23,19,1
2023-01-02,22:43:00,Monday,mccowan station,ERPR,10,15,N,SRT,3003,2,1,22,43,1
2023-01-02,02:30:00,Monday,highway 407 station,SUDP,12,18,N,YU,5526,2,1,2,30,1
2023-01-02,09:26:00,Monday,islington station,MUPAA,3,7,W,BD,5031,2,1,9,26,1
2023-01-02,09:49:00,Monday,wilson station,TUNIP,5,9,S,YU,5636,2,1,9,49,1
2023-01-02,10:18:00,Monday,eglinton station,SUDP,3,9,S,YU,5556,2,1,10,18,1
2023-01-02,12:02:00,Monday,eglinton west station,SUO,5,9,N,YU,5456,2,1,12,2,1
2023-01-02,13:16:00,Monday,museum station,SUDP,13,17,S,YU,5816,2,1,13,16,1
2023-01-02,14:36:00,Monday,kipling station,MUTO,6,10,E,BD,5142,2,1,14,36,1
2023-01-02,15:43:00,Monday,bloor yonge station,MUPAA,3,7,S,YU,5556,2,1,15,43,1
2023-01-02,16:31:00,Monday,warden station,PUSNT,5,9,E,BD,5135,2,1,16,31,1
2023-01-02,17:18:00,Monday,finch station,MUSAN,4,8,S,YU,5501,2,1,17,18,1
2023-01-02,17:54:00,Monday,christie station,MUIRS,6,11,E,BD,5135,2,1,17,54,1
2023-01-02,19:35:00,Monday,college station,MUPAA,3,9,N,YU,5516,2,1,19,35,1
2023-01-02,19:54:00,Monday,kennedy station,TUMVS,5,10,E,BD,5341,2,1,19,54,1
2023-01-02,20:42:00,Monday,spadina station,SUUT,6,11,E,BD,5323,2,1,20,42,1
2023-01-02,21:01:00,Monday,queen station,MUSAN,6,12,S,YU,5756,2,1,21,1,1
2023-01-02,21:26:00,Monday,summerhill station,SUDP,4,10,N,YU,6136,2,1,21,26,1
2023-01-02,21:40:00,Monday,royal york station,PUSTS,3,8,E,BD,5139,2,1,21,40,1
2023-01-02,23:45:00,Monday,bloor yonge station,SUAP,14,20,S,YU,5536,2,1,23,45,1
2023-01-02,00:57:00,Monday,dufferin station,SUUT,14,20,E,BD,5102,2,1,0,57,1
2023-01-03,15:32:00,Tuesday,lawrence east station,TRTC,5,10,S,SRT,3012,3,1,15,32,1
2023-01-03,06:17:00,Tuesday,kennedy station,EUDO,5,10,W,BD,5116,3,1,6,17,1
2023-01-03,06:17:00,Tuesday,downsview park station,MUATC,12,18,N,YU,5466,3,1,6,17,1
2023-01-03,06:42:00,Tuesday,north york centre station,PUOPO,3,6,S,YU,5736,3,1,6,42,1
2023-01-03,06:48:00,Tuesday,sheppard yonge station,PUOPO,5,8,S,YU,5736,3,1,6,48,1
2023-01-03,06:48:00,Tuesday,north york centre station,PUOPO,5,8,S,YU,5741,3,1,6,48,1
2023-01-03,09:42:00,Tuesday,dundas station,EUNT,6,9,S,YU,5796,3,1,9,42,1
2023-01-03,12:43:00,Tuesday,eglinton station,SUDP,5,8,S,YU,5786,3,1,12,43,1
2023-01-03,15:16:00,Tuesday,vaughan mc station,MUI,3,6,S,YU,6106,3,1,15,16,1
2023-01-03,15:50:00,Tuesday,eglinton station,EUDO,3,6,S,YU,5641,3,1,15,50,1
2023-01-03,17:23:00,Tuesday,north york centre station,PUOPO,5,8,S,YU,5886,3,1,17,23,1
2023-01-03,17:30:00,Tuesday,coxwell station,EUME,5,8,E,BD,5010,3,1,17,30,1
2023-01-03,17:30:00,Tuesday,sheppard yonge station,PUOPO,3,6,S,YU,5886,3,1,17,30,1
2023-01-03,17:54:00,Tuesday,eglinton station,MUIR,3,6,N,YU,5866,3,1,17,54,1
2023-01-03,17:56:00,Tuesday,runnymede station,MUIR,5,8,W,BD,5351,3,1,17,56,1
2023-01-03,18:10:00,Tuesday,castle frank station,SUDP,3,6,W,BD,5158,3,1,18,10,1
2023-01-03,18:54:00,Tuesday,dundas west station,MUI,15,18,W,BD,5348,3,1,18,54,1
2023-01-03,18:57:00,Tuesday,sheppard yonge station,MUATC,6,9,S,YU,5406,3,1,18,57,1
2023-01-03,19:14:00,Tuesday,union station,MUIR,15,18,N,YU,5506,3,1,19,14,1
2023-01-03,19:41:00,Tuesday,highway 407 station,MUATC,5,8,S,YU,5866,3,1,19,41,1
2023-01-03,20:28:00,Tuesday,eglinton station,TUO,4,7,S,YU,5406,3,1,20,28,1
2023-01-03,22:28:00,Tuesday,bloor yonge station,SUAP,3,7,E,BD,5142,3,1,22,28,1
2023-01-03,23:24:00,Tuesday,osgoode station,PUOPO,5,10,S,YU,6136,3,1,23,24,1
2023-01-04,09:11:00,Wednesday,kennedy station,ERTC,7,12,S,SRT,3001,4,1,9,11,1
2023-01-04,10:17:00,Wednesday,kennedy station,MRTO,8,13,S,SRT,3001,4,1,10,17,1
2023-01-04,19:11:00,Wednesday,scarborough centre station,MRD,6,11,N,SRT,3009,4,1,19,11,1
2023-01-04,06:43:00,Wednesday,greenwood station,EUNT,3,6,E,BD,5161,4,1,6,43,1
2023-01-04,07:07:00,Wednesday,islington station,MUDD,6,9,W,BD,5139,4,1,7,7,1
2023-01-04,07:32:00,Wednesday,dufferin station,SUDP,3,6,E,BD,5286,4,1,7,32,1
2023-01-04,07:39:00,Wednesday,chester station,MUTO,8,11,W,BD,5031,4,1,7,39,1
2023-01-04,09:20:00,Wednesday,bloor yonge station,MUO,4,7,E,BD,5358,4,1,9,20,1
2023-01-04,10:29:00,Wednesday,osgoode station,SUDP,4,7,S,YU,6086,4,1,10,29,1
2023-01-04,12:22:00,Wednesday,pape station,MUIR,6,9,E,YU,5128,4,1,12,22,1
2023-01-04,13:26:00,Wednesday,sheppard yonge station,SUDP,4,7,N,YU,5861,4,1,13,26,1
2023-01-04,13:31:00,Wednesday,pape station,SUDP,14,17,E,BD,5161,4,1,13,31,1
2023-01-04,13:38:00,Wednesday,york mills station,SUDP,18,21,S,YU,5556,4,1,13,38,1
2023-01-04,15:04:00,Wednesday,college station,MUPAA,3,6,N,YU,5776,4,1,15,4,1
2023-01-04,15:08:00,Wednesday,queen station,SUUT,7,10,S,YU,5811,4,1,15,8,1
2023-01-04,15:35:00,Wednesday,christie station,SUDP,5,8,E,BD,5066,4,1,15,35,1
2023-01-04,16:44:00,Wednesday,woodbine station,EUDO,5,8,W,BD,5010,4,1,16,44,1
2023-01-04,16:46:00,Wednesday,kipling station,MUDD,3,6,E,BD,5195,4,1,16,46,1
2023-01-04,17:16:00,Wednesday,broadview station,EUDO,3,6,E,BD,5195,4,1,17,16,1
2023-01-04,17:36:00,Wednesday,lawrence west station,MUATC,17,20,N,YU,5481,4,1,17,36,1
2023-01-04,17:45:00,Wednesday,spadina station,SUDP,5,8,W,BD,5360,4,1,17,45,1
2023-01-04,17:46:00,Wednesday,eglinton station,MUI,10,13,S,YU,5561,4,1,17,46,1
2023-01-04,18:46:00,Wednesday,spadina station,SUUT,27,30,E,BD,5012,4,1,18,46,1
2023-01-04,18:52:00,Wednesday,spadina station,SUUT,24,27,S,BD,5411,4,1,18,52,1
2023-01-04,20:24:00,Wednesday,bloor yonge station,MUPAA,4,7,N,YU,5646,4,1,20,24,1
2023-01-04,20:48:00,Wednesday,museum station,SUEAS,9,12,S,YU,6131,4,1,20,48,1
2023-01-04,21:26:00,Wednesday,kennedy station,EUO,4,8,W,BD,5211,4,1,21,26,1
2023-01-04,21:32:00,Wednesday,warden station,SUDP,3,6,E,BD,5190,4,1,21,32,1
2023-01-04,21:52:00,Wednesday,st clair station,EUOE,5,10,S,YU,5701,4,1,21,52,1
2023-01-04,21:55:00,Wednesday,queen station,SUUT,6,9,S,YU,5901,4,1,21,55,1
2023-01-04,00:07:00,Wednesday,lansdowne station,SUDP,8,13,E,BD,5161,4,1,0,7,1
2023-01-04,00:40:00,Wednesday,museum station,MUPAA,6,11,S,YU,5486,4,1,0,40,1
2023-01-04,12:40:00,Wednesday,bayview station,MUSAN,5,10,E,SHP,6156,4,1,12,40,1
2023-01-05,09:59:00,Thursday,kennedy station,ERCD,10,15,S,SRT,3026,5,1,9,59,1
2023-01-05,16:44:00,Thursday,midland station,ERTC,15,20,S,SRT,3004,5,1,16,44,1
2023-01-05,04:47:00,Thursday,donlands station,PUTWZ,3,6,E,BD,5085,5,1,4,47,1
2023-01-05,20:13:00,Thursday,lawrence east station,ERDO,5,10,N,SRT,3023,5,1,20,13,1
2023-01-05,05:02:00,Thursday,lawrence station,PUSAC,4,0,S,YU,5506,5,1,5,2,1
2023-01-05,06:24:00,Thursday,royal york station,PUSTS,6,9,W,BD,5062,5,1,6,24,1
2023-01-05,07:50:00,Thursday,st patrick station,MUO,3,5,S,YU,5621,5,1,7,50,1
2023-01-05,10:49:00,Thursday,islington station,PUSTC,6,9,E,BD,5025,5,1,10,49,1
2023-01-05,11:33:00,Thursday,dupont station,SUDP,4,7,S,YU,5525,5,1,11,33,1
2023-01-05,12:26:00,Thursday,yorkdale station,PUOPO,6,9,N,YU,5436,5,1,12,26,1
2023-01-05,12:36:00,Thursday,wilson station,PUOPO,3,6,N,YU,5436,5,1,12,36,1
2023-01-05,13:02:00,Thursday,coxwell station,TUNIP,3,6,E,BD,5128,5,1,13,2,1
2023-01-05,13:13:00,Thursday,islington station,SUDP,3,6,E,BD,5203,5,1,13,13,1
