day,station,code,min_delay,min_gap,bound,line,vehicle,day_month,month,hour,min,at_station,day_indexed,code_indexed,bound_indexed,line_indexed,station_indexed,station_w2v,features,scaled_features,station_w2v_vector,features_w2v,scaled_features_w2v
Sunday,museum station,MUPAA,3,9,S,YU,5931,1,1,2,22,1,6.0,1.0,0.0,0.0,42.0,"[0, 0, 47, 1]","[9.0,5931.0,1.0,1.0,2.0,22.0,1.0,6.0,1.0,0.0,0.0,42.0]","[0.225,0.9587778855480117,0.0,0.5,0.08695652173913043,0.3728813559322034,0.5,1.0,0.006493506493506494,0.0,0.0,0.5675675675675675]","[0.0,0.0,47.0,1.0]","[0.0,0.0,47.0,1.0,9.0,5931.0,1.0,1.0,2.0,22.0,1.0,6.0,1.0,0.0,0.0]","[0.0,0.0,0.5714285714285715,0.5,0.225,0.9587778855480117,0.0,0.5,0.08695652173913043,0.3728813559322034,0.5,1.0,0.006493506493506494,0.0,0.0]"
Sunday,vaughan mc station,TUNOA,6,12,S,YU,5451,1,1,8,2,1,6.0,37.0,0.0,0.0,10.0,"[0, 20, 21, 1]","[12.0,5451.0,1.0,1.0,8.0,2.0,1.0,6.0,37.0,0.0,0.0,10.0]","[0.30000000000000004,0.8811833171677983,0.0,0.5,0.34782608695652173,0.03389830508474576,0.5,1.0,0.24025974025974028,0.0,0.0,0.13513513513513514]","[0.0,20.0,21.0,1.0]","[0.0,20.0,21.0,1.0,12.0,5451.0,1.0,1.0,8.0,2.0,1.0,6.0,37.0,0.0,0.0]","[0.0,0.24390243902439024,0.2337662337662338,0.5,0.30000000000000004,0.8811833171677983,0.0,0.5,0.34782608695652173,0.03389830508474576,0.5,1.0,0.24025974025974028,0.0,0.0]"
Sunday,greenwood station,MUNOA,5,10,E,BD,0,1,1,8,11,1,6.0,77.0,3.0,1.0,28.0,"[0, 0, 35, 1]","[10.0,0.0,1.0,1.0,8.0,11.0,1.0,6.0,77.0,3.0,1.0,28.0]","[0.25,0.0,0.0,0.5,0.34782608695652173,0.1864406779661017,0.5,1.0,0.5,0.75,0.3333333333333333,0.3783783783783784]","[0.0,0.0,35.0,1.0]","[0.0,0.0,35.0,1.0,10.0,0.0,1.0,1.0,8.0,11.0,1.0,6.0,77.0,3.0,1.0]","[0.0,0.0,0.4155844155844156,0.5,0.25,0.0,0.0,0.5,0.34782608695652173,0.1864406779661017,0.5,1.0,0.5,0.75,0.3333333333333333]"
Sunday,keele station,TUNOA,5,10,W,BD,0,1,1,8,15,1,6.0,37.0,2.0,1.0,13.0,"[0, 0, 24, 1]","[10.0,0.0,1.0,1.0,8.0,15.0,1.0,6.0,37.0,2.0,1.0,13.0]","[0.25,0.0,0.0,0.5,0.34782608695652173,0.2542372881355932,0.5,1.0,0.24025974025974028,0.5,0.3333333333333333,0.17567567567567569]","[0.0,0.0,24.0,1.0]","[0.0,0.0,24.0,1.0,10.0,0.0,1.0,1.0,8.0,15.0,1.0,6.0,37.0,2.0,1.0]","[0.0,0.0,0.27272727272727276,0.5,0.25,0.0,0.0,0.5,0.34782608695652173,0.2542372881355932,0.5,1.0,0.24025974025974028,0.5,0.3333333333333333]"
Sunday,greenwood station,TUNOA,5,10,E,BD,0,1,1,8,16,1,6.0,37.0,3.0,1.0,28.0,"[0, 0, 35, 1]","[10.0,0.0,1.0,1.0,8.0,16.0,1.0,6.0,37.0,3.0,1.0,28.0]","[0.25,0.0,0.0,0.5,0.34782608695652173,0.2711864406779661,0.5,1.0,0.24025974025974028,0.75,0.3333333333333333,0.3783783783783784]","[0.0,0.0,35.0,1.0]","[0.0,0.0,35.0,1.0,10.0,0.0,1.0,1.0,8.0,16.0,1.0,6.0,37.0,3.0,1.0]","[0.0,0.0,0.4155844155844156,0.5,0.25,0.0,0.0,0.5,0.34782608695652173,0.2711864406779661,0.5,1.0,0.24025974025974028,0.75,0.3333333333333333]"
Sunday,donlands station,TUNOA,4,8,W,BD,0,1,1,8,19,1,6.0,37.0,2.0,1.0,33.0,"[0, 0, 39, 1]","[8.0,0.0,1.0,1.0,8.0,19.0,1.0,6.0,37.0,2.0,1.0,33.0]","[0.2,0.0,0.0,0.5,0.34782608695652173,0.3220338983050847,0.5,1.0,0.24025974025974028,0.5,0.3333333333333333,0.44594594594594594]","[0.0,0.0,39.0,1.0]","[0.0,0.0,39.0,1.0,8.0,0.0,1.0,1.0,8.0,19.0,1.0,6.0,37.0,2.0,1.0]","[0.0,0.0,0.4675324675324676,0.5,0.2,0.0,0.0,0.5,0.34782608695652173,0.3220338983050847,0.5,1.0,0.24025974025974028,0.5,0.3333333333333333]"
Sunday,greenwood station,TUNOA,5,10,E,BD,0,1,1,8,21,1,6.0,37.0,3.0,1.0,28.0,"[0, 0, 35, 1]","[10.0,0.0,1.0,1.0,8.0,21.0,1.0,6.0,37.0,3.0,1.0,28.0]","[0.25,0.0,0.0,0.5,0.34782608695652173,0.3559322033898305,0.5,1.0,0.24025974025974028,0.75,0.3333333333333333,0.3783783783783784]","[0.0,0.0,35.0,1.0]","[0.0,0.0,35.0,1.0,10.0,0.0,1.0,1.0,8.0,21.0,1.0,6.0,37.0,3.0,1.0]","[0.0,0.0,0.4155844155844156,0.5,0.25,0.0,0.0,0.5,0.34782608695652173,0.3559322033898305,0.5,1.0,0.24025974025974028,0.75,0.3333333333333333]"
Sunday,eglinton station,SUG,6,12,S,YU,5771,1,1,8,24,1,6.0,19.0,0.0,0.0,3.0,"[0, 0, 7, 1]","[12.0,5771.0,1.0,1.0,8.0,24.0,1.0,6.0,19.0,0.0,0.0,3.0]","[0.30000000000000004,0.9329130294212739,0.0,0.5,0.34782608695652173,0.4067796610169492,0.5,1.0,0.12337662337662339,0.0,0.0,0.04054054054054054]","[0.0,0.0,7.0,1.0]","[0.0,0.0,7.0,1.0,12.0,5771.0,1.0,1.0,8.0,24.0,1.0,6.0,19.0,0.0,0.0]","[0.0,0.0,0.05194805194805195,0.5,0.30000000000000004,0.9329130294212739,0.0,0.5,0.34782608695652173,0.4067796610169492,0.5,1.0,0.12337662337662339,0.0,0.0]"
Sunday,greenwood station,TUNOA,4,8,E,BD,0,1,1,8,31,1,6.0,37.0,3.0,1.0,28.0,"[0, 0, 35, 1]","[8.0,0.0,1.0,1.0,8.0,31.0,1.0,6.0,37.0,3.0,1.0,28.0]","[0.2,0.0,0.0,0.5,0.34782608695652173,0.5254237288135594,0.5,1.0,0.24025974025974028,0.75,0.3333333333333333,0.3783783783783784]","[0.0,0.0,35.0,1.0]","[0.0,0.0,35.0,1.0,8.0,0.0,1.0,1.0,8.0,31.0,1.0,6.0,37.0,3.0,1.0]","[0.0,0.0,0.4155844155844156,0.5,0.2,0.0,0.0,0.5,0.34782608695652173,0.5254237288135594,0.5,1.0,0.24025974025974028,0.75,0.3333333333333333]"
Sunday,eglinton station,TUNOA,6,12,N,YU,6131,1,1,8,38,1,6.0,37.0,1.0,0.0,3.0,"[0, 0, 7, 1]","[12.0,6131.0,1.0,1.0,8.0,38.0,1.0,6.0,37.0,1.0,0.0,3.0]","[0.30000000000000004,0.991108955706434,0.0,0.5,0.34782608695652173,0.6440677966101694,0.5,1.0,0.24025974025974028,0.25,0.0,0.04054054054054054]","[0.0,0.0,7.0,1.0]","[0.0,0.0,7.0,1.0,12.0,6131.0,1.0,1.0,8.0,38.0,1.0,6.0,37.0,1.0,0.0]","[0.0,0.0,0.05194805194805195,0.5,0.30000000000000004,0.991108955706434,0.0,0.5,0.34782608695652173,0.6440677966101694,0.5,1.0,0.24025974025974028,0.25,0.0]"
